bjd,relative_flux,flux_err,quality_flag
54956.18750000,1.0045613167,0.0006587343,0
54956.20833333,1.0041268344,0.0007182781,0
54956.22916667,1.0036217033,0.0006290466,0
54956.25000000,1.0036136022,0.0006806563,0
54956.27083333,1.0041145682,0.0006913944,0
54956.29166667,1.0032381543,0.0006285165,0
54956.31250000,1.0050499332,0.0006873860,0
54956.33333333,1.0020284684,0.0006441340,0
54956.35416667,1.0034088487,0.0006758767,0
54956.37500000,1.0036016315,0.0006760236,0
54956.39583333,1.0037654735,0.0006642930,0
54956.41666667,1.0027723236,0.0006108348,0
54956.43750000,1.0040316637,0.0007002363,0
54956.45833333,1.0022553692,0.0006384936,0
54956.47916667,1.0027034069,0.0006223822,0
54956.50000000,1.0033443268,0.0006048930,0
54956.52083333,1.0035825912,0.0006709072,0
54956.54166667,1.0018469743,0.0006813077,0
54956.56250000,1.0043176853,0.0006019905,0
54956.58333333,1.0020567937,0.0006614512,0
54956.60416667,1.0017557941,0.0006271795,0
54956.62500000,1.0028510309,0.0006774207,0
54956.64583333,1.0022294076,0.0006209240,0
54956.66666667,1.0020456586,0.0006829125,0
54956.68750000,1.0027118242,0.0006464082,0
54956.70833333,1.0011848028,0.0007124076,0
54956.72916667,1.0011732929,0.0006165025,0
54956.75000000,1.0017933379,0.0006409280,0
54956.77083333,1.0027950463,0.0006136168,0
54956.79166667,1.0017009195,0.0007109632,0
54956.81250000,1.0031877164,0.0007052807,0
54956.83333333,1.0027864931,0.0006309530,0
54956.85416667,1.0021935318,0.0006791981,0
54956.87500000,1.0022149194,0.0006980667,0
54956.89583333,1.0021458988,0.0006666241,0
54956.91666667,1.0020477018,0.0006635581,0
54956.93750000,1.0016987611,0.0006290223,0
54956.95833333,1.0017671696,0.0006111723,0
54956.97916667,1.0011572822,0.0007076659,0
54957.00000000,1.0003473497,0.0007080502,0
54957.02083333,1.0026594286,0.0006759722,1
54957.04166667,1.0020178953,0.0006406836,0
54957.06250000,1.0019281269,0.0006419051,0
54957.08333333,1.0022077336,0.0006871147,0
54957.10416667,1.0013602079,0.0007076532,0
54957.12500000,1.0012541894,0.0007064504,0
54957.14583333,1.0017819088,0.0006935851,0
54957.16666667,1.0029243354,0.0006770438,0
54957.18750000,1.0013063618,0.0006100968,0
54957.20833333,1.0004152724,0.0006193954,0
54957.22916667,1.0016979700,0.0007078265,0
54957.25000000,1.0028616604,0.0006727715,0
54957.27083333,1.0010783544,0.0006011036,0
54957.29166667,1.0014249770,0.0006121766,0
54957.31250000,1.0023549296,0.0006796202,0
54957.33333333,1.0037479437,0.0006006074,0
54957.35416667,1.0013919877,0.0006192970,0
54957.37500000,1.0013314665,0.0006658481,0
54957.39583333,1.0025209770,0.0006830274,0
54957.41666667,1.0031339789,0.0006782354,0
54957.43750000,1.0019519513,0.0006269123,0
54957.45833333,1.0012567971,0.0006854615,0
54957.47916667,1.0026642269,0.0006284699,0
54957.50000000,1.0028061229,0.0006390480,0
54957.52083333,1.0036591853,0.0006895790,0
54957.54166667,1.0028950844,0.0006779559,0
54957.56250000,1.0030452762,0.0007019068,0
54957.58333333,1.0022974506,0.0006789135,0
54957.60416667,1.0041149502,0.0006681970,0
54957.62500000,1.0022447725,0.0006112410,0
54957.64583333,1.0020947626,0.0006441259,0
54957.66666667,1.0036289221,0.0006318243,0
54957.68750000,1.0124391346,0.0006292788,2
54957.70833333,0.9986354453,0.0007167613,0
54957.72916667,1.0000199210,0.0006471717,0
54957.75000000,0.9999191767,0.0007070456,0
54957.77083333,0.9997389344,0.0006757366,0
54957.79166667,1.0005510359,0.0006953774,0
54957.81250000,1.0017271515,0.0006603165,0
54957.83333333,1.0023248316,0.0006692285,0
54957.85416667,1.0019933420,0.0006591021,0
54957.87500000,1.0016174437,0.0006234292,0
54957.89583333,1.0020663368,0.0006866943,0
54957.91666667,1.0025780361,0.0006336927,0
54957.93750000,1.0032382704,0.0006029179,0
54957.95833333,1.0022671492,0.0006774567,0
54957.97916667,0.9869427636,0.0006212533,0
54958.00000000,1.0016552961,0.0007128550,0
54958.02083333,1.0016108178,0.0007144714,0
54958.04166667,1.0021248999,0.0007097837,0
54958.06250000,1.0014569718,0.0006444190,0
54958.08333333,1.0019617902,0.0006018548,0
54958.10416667,1.0013481813,0.0007113982,0
54958.12500000,1.0019390150,0.0006513821,0
54958.14583333,1.0004557304,0.0007159986,0
54958.16666667,1.0007115268,0.0007156344,0
54958.18750000,1.0010193244,0.0007023611,0
54958.20833333,0.9998978439,0.0006353339,0
54958.22916667,0.9995657193,0.0006462117,0
54958.25000000,0.9994414600,0.0007021364,0
54958.27083333,0.9992047788,0.0006380306,0
54958.29166667,0.9997988425,0.0006203391,0
54958.31250000,0.9860845204,0.0006668162,2
54958.33333333,0.9979277749,0.0007123386,0
54958.35416667,1.0000792495,0.0006835236,0
54958.37500000,0.9980841818,0.0006684073,0
54958.39583333,0.9984471386,0.0006116612,0
54958.41666667,0.9859381205,0.0006738009,2
54958.43750000,0.9978845411,0.0007188065,0
54958.45833333,0.9971099549,0.0006168101,0
54958.47916667,0.9962489217,0.0006621996,0
54958.50000000,0.9979517081,0.0007052848,0
54958.52083333,0.9975427738,0.0006888922,0
54958.54166667,0.9963688358,0.0006836419,0
54958.56250000,0.9968353412,0.0006842981,0
54958.58333333,0.9970801453,0.0006431389,0
54958.60416667,0.9960354355,0.0006352310,0
54958.62500000,0.9955872537,0.0006971233,0
54958.64583333,0.9950844298,0.0006972136,0
54958.66666667,0.9950926491,0.0007040487,0
54958.68750000,0.9940639555,0.0007095889,0
54958.70833333,0.9938236010,0.0006613611,0
54958.72916667,0.9939865433,0.0006601820,0
54958.75000000,0.9930398286,0.0006957954,0
54958.77083333,0.9928009674,0.0006779957,0
54958.79166667,0.9927277325,0.0006842360,0
54958.81250000,0.9932060946,0.0006954951,0
54958.83333333,0.9912835914,0.0007068006,0
54958.85416667,0.9922492659,0.0006405594,0
54958.87500000,0.9919534897,0.0006450700,0
54958.89583333,0.9916042380,0.0006112778,0
54958.91666667,0.9902668819,0.0006693936,0
54958.93750000,0.9894693491,0.0006043131,0
54958.95833333,0.9905474805,0.0006558718,0
54958.97916667,0.9899965021,0.0006651174,0
54959.00000000,0.9902040187,0.0006343850,0
54959.02083333,0.9887961343,0.0006709000,0
54959.04166667,0.9894288845,0.0006036600,0
54959.06250000,0.9893164124,0.0006044818,0
54959.08333333,0.9883270129,0.0006987121,0
54959.10416667,0.9883823675,0.0006432229,0
54959.12500000,0.9880762394,0.0006152473,0
54959.14583333,0.9870308299,0.0006626692,0
54959.16666667,0.9876842293,0.0006923992,0
54959.18750000,0.9880811052,0.0006258985,0
54959.20833333,0.9868378615,0.0006747469,0
54959.22916667,0.9856972780,0.0006102417,0
54959.25000000,0.9859471421,0.0006062018,0
54959.27083333,0.9849669921,0.0006637626,0
54959.29166667,0.9868001572,0.0006648762,0
54959.31250000,0.9862635729,0.0006764916,0
54959.33333333,0.9852170731,0.0006871310,0
54959.35416667,0.9843705008,0.0007171022,0
54959.37500000,0.9846728389,0.0006619560,0
54959.39583333,0.9846653448,0.0006387548,0
54959.41666667,0.9850095969,0.0006954223,0
54959.43750000,0.9848540476,0.0006324999,0
54959.45833333,0.9855666957,0.0006526766,0
54959.47916667,0.9841667295,0.0006094148,0
54959.50000000,0.9835900602,0.0006030421,0
54959.52083333,0.9835955285,0.0007155178,0
54959.54166667,0.9651827599,0.0007003176,2
54959.56250000,0.9838131674,0.0006835169,0
54959.58333333,0.9840861080,0.0006490744,0
54959.60416667,0.9839720511,0.0006207953,0
54959.62500000,0.9848589013,0.0006187724,0
54959.64583333,0.9838827146,0.0006300291,0
54959.66666667,0.9840217800,0.0006659072,0
54959.68750000,0.9847997193,0.0006857515,0
54959.70833333,0.9839731772,0.0006792237,0
54959.72916667,0.9846884813,0.0006335921,0
54959.75000000,0.9847349538,0.0007145838,0
54959.77083333,0.9846877510,0.0006885476,0
54959.79166667,0.9839403766,0.0006665225,0
54959.81250000,0.9856451769,0.0006734065,0
54959.83333333,0.9863959715,0.0006503520,0
54959.85416667,0.9851060567,0.0006297277,0
54959.87500000,0.9845906655,0.0006427167,0
54959.89583333,0.9854597469,0.0006909415,0
54959.91666667,0.9862253523,0.0006017272,0
54959.93750000,0.9854555767,0.0006139287,0
54959.95833333,0.9859719812,0.0006055203,0
54959.97916667,0.9864858860,0.0006048875,0
54960.00000000,0.9873677351,0.0007026553,0
54960.02083333,0.9873082394,0.0006844389,0
54960.04166667,0.9875814588,0.0006569009,0
54960.06250000,0.9870633913,0.0006117401,0
54960.08333333,0.9878799564,0.0006589939,0
54960.10416667,0.9874431423,0.0006568166,0
54960.12500000,0.9887554363,0.0006207842,0
54960.14583333,0.9893050203,0.0006520622,0
54960.16666667,0.9892468616,0.0006478206,0
54960.18750000,0.9889846394,0.0006739020,0
54960.20833333,0.9894477546,0.0006762112,0
54960.22916667,0.9910415292,0.0006054365,0
54960.25000000,0.9900924572,0.0006449535,0
54960.27083333,0.9914064790,0.0006751032,0
54960.29166667,0.9913080649,0.0006603764,0
54960.31250000,0.9912432916,0.0007027788,0
54960.33333333,0.9909656137,0.0006790432,0
54960.35416667,0.9924166002,0.0006195521,0
54960.37500000,0.9927534972,0.0006084682,0
54960.39583333,0.9943390628,0.0006770903,0
54960.41666667,0.9930195752,0.0006031814,0
54960.43750000,0.9955033757,0.0006702931,0
54960.45833333,0.9946657279,0.0007128276,0
54960.47916667,0.9950821751,0.0006690569,0
54960.50000000,0.9948822695,0.0006465804,0
54960.52083333,0.9959173505,0.0006771946,0
54960.54166667,0.9964541872,0.0006549903,0
54960.56250000,0.9972093091,0.0006654740,0
54960.58333333,0.9963297827,0.0007129758,0
54960.60416667,0.9983783482,0.0006463323,0
54960.62500000,0.9981689481,0.0007153429,0
54960.64583333,0.9987817352,0.0007086421,0
54960.66666667,0.9986517484,0.0006234949,0
54960.68750000,0.9986616491,0.0006083234,0
54960.70833333,0.9997049937,0.0006120934,0
54960.72916667,1.0002044523,0.0006021866,0
54960.75000000,0.9996723688,0.0006113332,0
54960.77083333,1.0014839716,0.0006819608,0
54960.79166667,1.0019685845,0.0006085426,0
54960.81250000,1.0013106595,0.0006382771,0
54960.83333333,1.0014679955,0.0007013850,0
54960.85416667,1.0024055934,0.0006027926,0
54960.87500000,1.0030016143,0.0006977362,0
54960.89583333,1.0032075429,0.0006338226,0
54960.91666667,1.0037205135,0.0006141798,0
54960.93750000,1.0017744644,0.0006836085,0
54960.95833333,1.0010655205,0.0006754731,0
54960.97916667,1.0014642949,0.0007052966,0
54961.00000000,1.0008246929,0.0006882085,0
54961.02083333,1.0036956685,0.0006964177,0
54961.04166667,1.0058955210,0.0006338441,0
54961.06250000,1.0068601115,0.0006212927,0
54961.08333333,1.0057374034,0.0006900738,0
54961.10416667,1.0068429278,0.0006968202,0
54961.12500000,1.0072734576,0.0007188606,0
54961.14583333,1.0070367369,0.0006495141,0
54961.16666667,1.0066720947,0.0006446422,0
54961.18750000,1.0091446564,0.0006931696,0
54961.20833333,1.0090811649,0.0006408964,0
54961.22916667,1.0081512257,0.0007116909,0
54961.25000000,1.0090090590,0.0007030095,0
54961.27083333,1.0085503893,0.0006514793,0
54961.29166667,1.0083835884,0.0006901045,0
54961.31250000,1.0105250003,0.0006905451,0
54961.33333333,1.0084304796,0.0006123749,0
54961.35416667,1.0094112402,0.0007083063,0
54961.37500000,1.0098267213,0.0006606303,0
54961.39583333,1.0110713444,0.0006991749,0
54961.41666667,1.0106233560,0.0006384060,0
54961.43750000,1.0089903837,0.0007074628,0
54961.45833333,1.0102825326,0.0006467042,0
54961.47916667,1.0103963298,0.0006013005,0
54961.50000000,0.9999183278,0.0007086458,2
54961.52083333,1.0109269017,0.0006109544,0
54961.54166667,1.0097142192,0.0006383176,0
54961.56250000,1.0103763299,0.0007140074,0
54961.58333333,1.0110535681,0.0007140729,0
54961.60416667,1.0111990384,0.0006688125,0
54961.62500000,1.0108678939,0.0006758205,0
54961.64583333,1.0105904621,0.0006538135,0
54961.66666667,1.0107048797,0.0006351853,0
54961.68750000,1.0112467400,0.0006394397,0
54961.70833333,1.0107790326,0.0006807022,1
54961.72916667,1.0100101420,0.0006902849,0
54961.75000000,1.0098363733,0.0006949895,0
54961.77083333,1.0096142930,0.0006947542,0
54961.79166667,1.0114856403,0.0006109447,0
54961.81250000,1.0110677397,0.0006593304,0
54961.83333333,1.0104018957,0.0006069071,0
54961.85416667,1.0100879895,0.0006659435,0
54961.87500000,1.0099319167,0.0006529837,0
54961.89583333,1.0109887429,0.0007065245,0
54961.91666667,1.0113423705,0.0006421098,0
54961.93750000,1.0096448057,0.0006140480,0
54961.95833333,1.0106103747,0.0006171590,0
54961.97916667,1.0098129763,0.0006913813,0
54962.00000000,1.0095311427,0.0006741862,0
54962.02083333,1.0104711885,0.0006121347,0
54962.04166667,1.0094159138,0.0006100928,0
54962.06250000,1.0094926003,0.0006841163,0
54962.08333333,1.0093051149,0.0006087316,0
54962.10416667,1.0078791901,0.0006986232,0
54962.12500000,1.0090703722,0.0006847491,0
54962.14583333,1.0083852702,0.0006097619,0
54962.16666667,1.0077145567,0.0006101805,0
54962.18750000,1.0080617435,0.0007183967,0
54962.20833333,1.0079445086,0.0006449125,0
54962.22916667,1.0087960544,0.0006444771,0
54962.25000000,1.0072385028,0.0006975359,0
54962.27083333,1.0072646289,0.0007136698,0
54962.29166667,1.0078450846,0.0007183201,0
54962.31250000,1.0066085628,0.0006904054,1
54962.33333333,1.0069471641,0.0006451512,0
54962.35416667,1.0062062146,0.0006100201,0
54962.37500000,1.0077097639,0.0006932576,0
54962.39583333,1.0067227357,0.0006670085,0
54962.41666667,1.0067668571,0.0006509066,0
54962.43750000,1.0072818680,0.0007087625,0
54962.45833333,1.0060472487,0.0006133437,0
54962.47916667,1.0061446639,0.0006591150,0
54962.50000000,1.0055777815,0.0006013624,0
54962.52083333,1.0053839871,0.0006562393,0
54962.54166667,1.0053887376,0.0006067564,0
54962.56250000,1.0055167573,0.0006142581,0
54962.58333333,1.0054583919,0.0006141031,0
54962.60416667,1.0057694043,0.0006779052,0
54962.62500000,1.0048420371,0.0006895254,0
54962.64583333,1.0055574330,0.0006700043,0
54962.66666667,1.0055810337,0.0007154607,0
54962.68750000,1.0048271953,0.0006449845,0
54962.70833333,1.0045176454,0.0006342855,0
54962.72916667,1.0049914426,0.0007042319,0
54962.75000000,1.0047121764,0.0006268315,0
54962.77083333,1.0049093376,0.0007155867,1
54962.79166667,1.0056126324,0.0006014585,0
54962.81250000,1.0046388662,0.0007163855,0
54962.83333333,1.0041286382,0.0006051792,0
54962.85416667,1.0038159935,0.0007069372,0
54962.87500000,1.0038153225,0.0006633241,1
54962.89583333,1.0032679385,0.0007191558,0
54962.91666667,1.0048315226,0.0006088556,0
54962.93750000,1.0027233215,0.0006664625,0
54962.95833333,1.0045137723,0.0007163163,0
54962.97916667,1.0035454604,0.0006627717,0
54963.00000000,1.0037354461,0.0006755278,0
54963.02083333,1.0034326731,0.0006834898,0
54963.04166667,1.0049616057,0.0006545449,0
54963.06250000,1.0039988373,0.0006753070,0
54963.08333333,1.0044937440,0.0006701177,0
54963.10416667,1.0048648686,0.0007081390,0
54963.12500000,1.0040260555,0.0006054536,0
54963.14583333,1.0031558712,0.0006337156,0
54963.16666667,1.0037455044,0.0007140494,0
54963.18750000,1.0033707944,0.0007068317,0
54963.20833333,1.0035608952,0.0006546788,0
54963.22916667,1.0038243198,0.0006744159,0
54963.25000000,1.0038031064,0.0006332857,0
54963.27083333,1.0041466871,0.0006225745,0
54963.29166667,1.0042594841,0.0006556438,0
54963.31250000,1.0038135998,0.0006424023,0
54963.33333333,1.0041772985,0.0006700387,0
54963.35416667,1.0035806874,0.0006093282,0
54963.37500000,1.0048675673,0.0007169274,0
54963.39583333,1.0035291215,0.0007183453,0
54963.41666667,1.0047649848,0.0006837794,0
54963.43750000,1.0029772063,0.0006643316,0
54963.45833333,1.0037270531,0.0006371433,0
54963.47916667,1.0037501145,0.0006976554,0
54963.50000000,1.0041826946,0.0006821677,0
54963.52083333,1.0045371760,0.0006195140,0
54963.54166667,1.0031272794,0.0007093113,0
54963.56250000,1.0032486765,0.0006987045,0
54963.58333333,1.0030301530,0.0007139760,0
54963.60416667,1.0049451259,0.0006870863,0
54963.62500000,1.0042439934,0.0006736098,0
54963.64583333,1.0033422788,0.0006501892,0
54963.66666667,1.0037338130,0.0007119274,0
54963.68750000,1.0048810365,0.0007039277,0
54963.70833333,1.0038784647,0.0006054262,0
54963.72916667,1.0038387699,0.0006031640,0
54963.75000000,1.0035308435,0.0006451756,0
54963.77083333,1.0033103056,0.0006972664,0
54963.79166667,1.0048624386,0.0007184731,0
54963.81250000,1.0050311016,0.0006180500,0
54963.83333333,1.0033164020,0.0006712957,0
54963.85416667,1.0048629557,0.0006457069,0
54963.87500000,1.0035813301,0.0007163897,0
54963.89583333,1.0042759295,0.0007010543,0
54963.91666667,1.0048576537,0.0007005994,0
54963.93750000,1.0037387482,0.0006562432,0
54963.95833333,1.0035815466,0.0006497783,0
54963.97916667,1.0042585852,0.0006328088,0
54964.00000000,1.0030314864,0.0006067651,0
54964.02083333,1.0044618085,0.0007037667,0
54964.04166667,1.0036999857,0.0006975481,0
54964.06250000,1.0031264717,0.0007199661,0
54964.08333333,1.0030459811,0.0007195964,0
54964.10416667,1.0024930125,0.0006666518,0
54964.12500000,1.0029749646,0.0006922785,0
54964.14583333,1.0030849519,0.0007133719,0
54964.16666667,1.0024518562,0.0007019577,0
54964.18750000,1.0005803739,0.0006296818,0
54964.20833333,1.0008349780,0.0006540653,0
54964.22916667,1.0003075053,0.0006154991,0
54964.25000000,1.0008223131,0.0007144861,0
54964.27083333,0.9997124845,0.0006727410,0
54964.29166667,1.0032952572,0.0006274371,0
54964.31250000,1.0026489030,0.0006806041,0
54964.33333333,1.0035051813,0.0006741754,0
54964.35416667,1.0039103601,0.0006429795,0
54964.37500000,1.0019615678,0.0006136269,0
54964.39583333,1.0018477047,0.0006805888,0
54964.41666667,1.0018639039,0.0006624369,0
54964.43750000,1.0023248272,0.0006926782,0
54964.45833333,1.0026737623,0.0006624196,0
54964.47916667,1.0012184101,0.0007022618,0
54964.50000000,1.0018106941,0.0006662288,0
54964.52083333,1.0013444345,0.0006673126,0
54964.54166667,1.0017482635,0.0007051984,0
54964.56250000,1.0021673564,0.0006484179,0
54964.58333333,1.0009159500,0.0006160818,0
54964.60416667,0.9999311356,0.0006034539,0
54964.62500000,1.0013269911,0.0006906165,0
54964.64583333,1.0001258637,0.0006744371,0
54964.66666667,1.0004637657,0.0006844896,0
54964.68750000,1.0009285512,0.0006255557,0
54964.70833333,1.0004944645,0.0006163646,0
54964.72916667,1.0001255527,0.0006017454,0
54964.75000000,0.9996934776,0.0006420705,0
54964.77083333,0.9979955656,0.0006707901,0
54964.79166667,1.0002714855,0.0006470693,0
54964.81250000,0.9995349015,0.0006524970,0
54964.83333333,1.0006541683,0.0007084990,0
54964.85416667,0.9997213291,0.0006417907,0
54964.87500000,0.9989938154,0.0006616787,0
54964.89583333,0.9999805717,0.0006940384,0
54964.91666667,0.9998762839,0.0006475851,0
54964.93750000,0.9988763928,0.0006746504,0
54964.95833333,0.9997600014,0.0007034836,0
54964.97916667,0.9984229213,0.0007139425,0
54965.00000000,0.9988201867,0.0006176488,0
54965.02083333,0.9990334223,0.0007111905,0
54965.04166667,0.9990531163,0.0006590540,0
54965.06250000,0.9988404663,0.0006309893,0
54965.08333333,0.9981464094,0.0006550963,0
54965.10416667,0.9990689732,0.0007176039,0
54965.12500000,0.9981257805,0.0006591142,0
54965.14583333,0.9977715401,0.0006394502,0
54965.16666667,0.9976923118,0.0006760081,0
54965.18750000,0.9992226917,0.0006288175,0
54965.20833333,0.9974907506,0.0006091036,0
54965.22916667,0.9986817589,0.0006154656,0
54965.25000000,0.9971364200,0.0006153655,0
54965.27083333,0.9980893903,0.0006182283,0
54965.29166667,0.9979278307,0.0006166593,0
54965.31250000,0.9988031962,0.0006769050,0
54965.33333333,0.9972642604,0.0006218256,0
54965.35416667,0.9970438163,0.0006414801,0
54965.37500000,0.9975322006,0.0007076146,0
54965.39583333,0.9986861791,0.0006568754,0
54965.41666667,0.9969733334,0.0006801069,0
54965.43750000,0.9959541270,0.0006206784,0
54965.45833333,0.9975879004,0.0006230747,0
54965.47916667,0.9981188040,0.0006049042,0
54965.50000000,0.9969130727,0.0006202722,0
54965.52083333,0.9980800674,0.0006334308,0
54965.54166667,0.9969039056,0.0006212413,0
54965.56250000,0.9974657520,0.0006106443,0
54965.58333333,0.9980286813,0.0006144763,0
54965.60416667,0.9968019352,0.0006552935,0
