product_id,code,standard_label,category_lv1,category_lv2,station_scope,keywords_examples
M3_DISPLAY,M3_DISPLAY-EV-069,Vibration test intermittent,ENVIRONMENT,VIBRATION_FAIL,HIL;EOL,"vibration, 振动, intermittent, 松动"
M3_DISPLAY,M3_DISPLAY-EV-070,Vibration test intermittent,ENVIRONMENT,VIBRATION_FAIL,EOL;HIL;AOI,"vibration, 振动, intermittent, 松动"
M3_DISPLAY,M3_DISPLAY-EV-071,Vibration test intermittent,ENVIRONMENT,VIBRATION_FAIL,VISUAL;EOL;HIL;AOI,"vibration, 振动, intermittent, 松动"
M3_DISPLAY,M3_DISPLAY-EV-072,Vibration test intermittent,ENVIRONMENT,VIBRATION_FAIL,VISUAL;HIL,"vibration, 振动, intermittent, 松动"
M3_DISPLAY,M3_DISPLAY-HD-073,ESD suspected damage,HANDLING,ESD,EOL;PROG;AOI;VISUAL,"ESD, 静电, handling"
M3_DISPLAY,M3_DISPLAY-HD-074,ESD suspected damage,HANDLING,ESD,HIL;PROG;VISUAL;EOL,"ESD, 静电, handling"
M3_DISPLAY,M3_DISPLAY-HD-075,ESD suspected damage,HANDLING,ESD,EOL;AOI;HIL,"ESD, 静电, handling"
M3_DISPLAY,M3_DISPLAY-HD-076,ESD suspected damage,HANDLING,ESD,AOI;THERMAL;PROG,"ESD, 静电, handling"
M3_DISPLAY,M3_DISPLAY-HD-077,ESD suspected damage,HANDLING,ESD,AOI;VISUAL;THERMAL,"ESD, 静电, handling"
M3_DISPLAY,M3_DISPLAY-HD-078,ESD suspected damage,HANDLING,ESD,EOL;VISUAL,"ESD, 静电, handling"
